File,post_release_bugs
hibernate-core/src/test/java/org/hibernate/cache/spi/QueryKeyTest.java,1
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/impl/BaseRegion.java,1
hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/metadata/QueryGeneratorBuilder.java,2
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/merge/MergeDetachedCascadedCollectionInEmbeddableTest.java,1
hibernate-core/src/main/java/org/hibernate/event/spi/PostCollectionRemoveEventListener.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/cascade/MergeWithTransientNonCascadedAssociationTest.java,1
hibernate-core/src/main/java/org/hibernate/hql/spi/id/inline/InlineIdsInClauseBuilder.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/expression/SubqueryComparisonModifierExpression.java,1
hibernate-core/src/main/java/org/hibernate/engine/spi/ActionQueue.java,19
hibernate-core/src/main/java/org/hibernate/dialect/InformixDialect.java,2
hibernate-core/src/main/java/org/hibernate/type/descriptor/sql/JdbcTypeJavaClassMappings.java,2
hibernate-core/src/test/java/org/hibernate/internal/util/ReflectHelperTest.java,2
hibernate-core/src/main/java/org/hibernate/usertype/UserCollectionType.java,1
hibernate-core/src/main/java/org/hibernate/tool/schema/internal/IndividuallySchemaMigratorImpl.java,1
hibernate-core/src/main/java/org/hibernate/mapping/Any.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/expression/LiteralExpression.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/predicate/InPredicate.java,1
hibernate-core/src/main/java/org/hibernate/hql/spi/id/AbstractTableBasedBulkIdHandler.java,1
hibernate-core/src/test/java/org/hibernate/test/filter/ManyToManyWithDynamicFilterTest.java,3
hibernate-hikaricp/src/main/java/org/hibernate/hikaricp/internal/HikariCPConnectionProvider.java,1
hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,4
hibernate-proxool/src/main/java/org/hibernate/proxool/internal/ProxoolMessageLogger.java,1
hibernate-core/src/main/java/org/hibernate/tool/schema/internal/SchemaMigratorImpl.java,2
hibernate-core/src/test/java/org/hibernate/test/keymanytoone/bidir/component/EagerCollectionLazyKeyManyToOneTest.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/query/NamedQueryCommentTest.java,3
